OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,Shipvia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10277,MORGK,2,09/08/1996,06/09/1996,13/08/1996,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,NULL,4179,Germany
10278,BERGS,8,12/08/1996,09/09/1996,16/08/1996,2,92.69,Berglunds snabbkצp,Berguvsvהgen  8,Luleו,NULL,S-958 22,Sweden
10279,LEHMS,8,13/08/1996,10/09/1996,16/08/1996,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10280,BERGS,2,14/08/1996,11/09/1996,12/09/1996,1,8.98,Berglunds snabbkצp,Berguvsvהgen  8,Luleו,NULL,S-958 22,Sweden
10281,ROMEY,4,14/08/1996,28/08/1996,21/08/1996,1,2.94,Romero y tomillo,"Gran Vםa, 1",Madrid,NULL,28001,Spain
10282,ROMEY,4,15/08/1996,12/09/1996,21/08/1996,1,12.69,Romero y tomillo,"Gran Vםa, 1",Madrid,NULL,28001,Spain
10283,LILAS,3,16/08/1996,13/09/1996,23/08/1996,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolםvar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10284,LEHMS,4,19/08/1996,16/09/1996,27/08/1996,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10285,QUICK,1,20/08/1996,17/09/1996,26/08/1996,2,76.83,QUICK-Stop,Taucherstrae 10,Cunewalde,NULL,1307,Germany
10286,QUICK,8,21/08/1996,18/09/1996,30/08/1996,3,229.24,QUICK-Stop,Taucherstrae 10,Cunewalde,NULL,1307,Germany
10287,RICAR,8,22/08/1996,19/09/1996,28/08/1996,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10288,REGGC,4,23/08/1996,20/09/1996,03/09/1996,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy
10289,BSBEV,7,26/08/1996,23/09/1996,28/08/1996,3,22.77,B's Beverages,Fauntleroy Circus,London,NULL,EC2 5NT,UK
10290,COMMI,8,27/08/1996,24/09/1996,03/09/1996,1,79.7,Comיrcio Mineiro,"Av. dos Lusםadas, 23",Sao Paulo,SP,05432-043,Brazil
10291,QUEDE,6,27/08/1996,24/09/1996,04/09/1996,2,6.4,Que Delםcia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10292,TRADH,1,28/08/1996,25/09/1996,02/09/1996,2,1.35,Tradiחao Hipermercados,"Av. Inךs de Castro, 414",Sao Paulo,SP,05634-030,Brazil
10293,TORTU,1,29/08/1996,26/09/1996,11/09/1996,3,21.18,Tortuga Restaurante,Avda. Azteca 123,Mיxico D.F.,NULL,5033,Mexico
10294,RATTC,4,30/08/1996,27/09/1996,05/09/1996,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10295,VINET,2,02/09/1996,30/09/1996,10/09/1996,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10296,LILAS,6,03/09/1996,01/10/1996,11/09/1996,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolםvar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,BLONP,5,04/09/1996,16/10/1996,10/09/1996,2,5.74,Blondel pטre et fils,"24, place Klיber",Strasbourg,NULL,67000,France
10298,HUNGO,6,05/09/1996,03/10/1996,11/09/1996,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10299,RICAR,4,06/09/1996,04/10/1996,13/09/1996,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10300,MAGAA,2,09/09/1996,07/10/1996,18/09/1996,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
10301,WANDK,8,09/09/1996,07/10/1996,17/09/1996,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10302,SUPRD,4,10/09/1996,08/10/1996,09/10/1996,2,6.27,Suprךmes dיlices,"Boulevard Tirou, 255",Charleroi,NULL,B-6000,Belgium
10303,GODOS,7,11/09/1996,09/10/1996,18/09/1996,2,107.83,Godos Cocina Tםpica,"C/ Romero, 33",Sevilla,NULL,41101,Spain
10304,TORTU,1,12/09/1996,10/10/1996,17/09/1996,2,63.79,Tortuga Restaurante,Avda. Azteca 123,Mיxico D.F.,NULL,5033,Mexico
10305,OLDWO,8,13/09/1996,11/10/1996,09/10/1996,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10306,ROMEY,1,16/09/1996,14/10/1996,23/09/1996,3,7.56,Romero y tomillo,"Gran Vםa, 1",Madrid,NULL,28001,Spain
10307,LONEP,2,17/09/1996,15/10/1996,25/09/1996,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10308,ANATR,7,18/09/1996,16/10/1996,24/09/1996,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constituciףn 2222,Mיxico D.F.,NULL,5021,Mexico
10309,HUNGO,3,19/09/1996,17/10/1996,23/10/1996,1,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10310,THEBI,8,20/09/1996,18/10/1996,27/09/1996,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
10311,DUMON,1,20/09/1996,04/10/1996,26/09/1996,3,24.69,Du monde entier,"67, rue des Cinquante Otages",Nantes,NULL,44000,France
10312,WANDK,2,23/09/1996,21/10/1996,03/10/1996,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10313,QUICK,2,24/09/1996,22/10/1996,04/10/1996,2,1.96,QUICK-Stop,Taucherstrae 10,Cunewalde,NULL,1307,Germany
10314,RATTC,1,25/09/1996,23/10/1996,04/10/1996,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10315,ISLAT,4,26/09/1996,24/10/1996,03/10/1996,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10316,RATTC,1,27/09/1996,25/10/1996,08/10/1996,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10317,LONEP,6,30/09/1996,28/10/1996,10/10/1996,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10318,ISLAT,8,01/10/1996,29/10/1996,04/10/1996,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10319,TORTU,7,02/10/1996,30/10/1996,11/10/1996,3,64.5,Tortuga Restaurante,Avda. Azteca 123,Mיxico D.F.,NULL,5033,Mexico
10320,WARTH,5,03/10/1996,17/10/1996,18/10/1996,3,34.57,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10321,ISLAT,3,03/10/1996,31/10/1996,11/10/1996,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10322,PERIC,7,04/10/1996,01/11/1996,23/10/1996,3,0.4,Pericles Comidas clבsicas,Calle Dr. Jorge Cash 321,Mיxico D.F.,NULL,5033,Mexico
10323,KOENE,4,07/10/1996,04/11/1996,14/10/1996,1,4.88,Kצniglich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10324,SAVEA,9,08/10/1996,05/11/1996,10/10/1996,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10325,KOENE,1,09/10/1996,23/10/1996,14/10/1996,3,64.86,Kצniglich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10326,BOLID,4,10/10/1996,07/11/1996,14/10/1996,2,77.92,Bףlido Comidas preparadas,"C/ Araquil, 67",Madrid,NULL,28023,Spain
10327,FOLKO,2,11/10/1996,08/11/1996,14/10/1996,1,63.36,Folk och fה HB,ֵkergatan 24,Brהcke,NULL,S-844 67,Sweden
10328,FURIB,4,14/10/1996,11/11/1996,17/10/1996,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
10329,SPLIR,4,15/10/1996,26/11/1996,23/10/1996,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10330,LILAS,3,16/10/1996,13/11/1996,28/10/1996,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolםvar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,BONAP,9,16/10/1996,27/11/1996,21/10/1996,1,10.19,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10332,MEREP,3,17/10/1996,28/11/1996,21/10/1996,2,52.84,Mטre Paillarde,43 rue St. Laurent,Montrיal,Quיbec,H1J 1C3,Canada
10333,WARTH,5,18/10/1996,15/11/1996,25/10/1996,3,0.59,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10334,VICTE,8,21/10/1996,18/11/1996,28/10/1996,2,8.56,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10335,HUNGO,7,22/10/1996,19/11/1996,24/10/1996,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10336,PRINI,7,23/10/1996,20/11/1996,25/10/1996,2,15.51,Princesa Isabel Vinhos,Estrada da saתde n. 58,Lisboa,NULL,1756,Portugal
10337,FRANK,4,24/10/1996,21/11/1996,29/10/1996,3,108.26,Frankenversand,Berliner Platz 43,Mnchen,NULL,80805,Germany
10338,OLDWO,4,25/10/1996,22/11/1996,29/10/1996,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10339,MEREP,2,28/10/1996,25/11/1996,04/11/1996,2,15.66,Mטre Paillarde,43 rue St. Laurent,Montrיal,Quיbec,H1J 1C3,Canada
10340,BONAP,1,29/10/1996,26/11/1996,08/11/1996,3,166.31,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10341,SIMOB,7,29/10/1996,26/11/1996,05/11/1996,3,26.78,Simons bistro,Vinbזltet 34,Kobenhavn,NULL,1734,Denmark
10342,FRANK,4,30/10/1996,13/11/1996,04/11/1996,2,54.83,Frankenversand,Berliner Platz 43,Mnchen,NULL,80805,Germany
10343,LEHMS,4,31/10/1996,28/11/1996,06/11/1996,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10344,WHITC,4,01/11/1996,29/11/1996,05/11/1996,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10345,QUICK,2,04/11/1996,02/12/1996,11/11/1996,2,249.06,QUICK-Stop,Taucherstrae 10,Cunewalde,NULL,1307,Germany
10346,RATTC,3,05/11/1996,17/12/1996,08/11/1996,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10347,FAMIA,4,06/11/1996,04/12/1996,08/11/1996,3,3.1,Familia Arquibaldo,"Rua Orףs, 92",Sao Paulo,SP,05442-030,Brazil
10348,WANDK,4,07/11/1996,05/12/1996,15/11/1996,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10349,SPLIR,7,08/11/1996,06/12/1996,15/11/1996,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10350,LAMAI,6,11/11/1996,09/12/1996,03/12/1996,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10351,ERNSH,1,11/11/1996,09/12/1996,20/11/1996,1,162.33,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10352,FURIB,3,12/11/1996,26/11/1996,18/11/1996,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
10353,PICCO,7,13/11/1996,11/12/1996,25/11/1996,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,NULL,5020,Austria
10354,PERIC,8,14/11/1996,12/12/1996,20/11/1996,3,53.8,Pericles Comidas clבsicas,Calle Dr. Jorge Cash 321,Mיxico D.F.,NULL,5033,Mexico
10355,AROUT,6,15/11/1996,13/12/1996,20/11/1996,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10356,WANDK,6,18/11/1996,16/12/1996,27/11/1996,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10357,LILAS,1,19/11/1996,17/12/1996,02/12/1996,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolםvar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,LAMAI,5,20/11/1996,18/12/1996,27/11/1996,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10359,SEVES,5,21/11/1996,19/12/1996,26/11/1996,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK
10360,BLONP,4,22/11/1996,20/12/1996,02/12/1996,3,131.7,Blondel pטre et fils,"24, place Klיber",Strasbourg,NULL,67000,France
10361,QUICK,1,22/11/1996,20/12/1996,03/12/1996,2,183.17,QUICK-Stop,Taucherstrae 10,Cunewalde,NULL,1307,Germany
10362,BONAP,3,25/11/1996,23/12/1996,28/11/1996,1,96.04,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10363,DRACD,4,26/11/1996,24/12/1996,04/12/1996,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,NULL,52066,Germany
10364,EASTC,1,26/11/1996,07/01/1997,04/12/1996,1,71.97,Eastern Connection,35 King George,London,NULL,WX3 6FW,UK
10365,ANTON,3,27/11/1996,25/12/1996,02/12/1996,2,22,Antonio Moreno Taquerםa,Mataderos  2312,Mיxico D.F.,NULL,5023,Mexico
10366,GALED,8,28/11/1996,09/01/1997,30/12/1996,2,10.14,Galerםa del gastronףmo,"Rambla de Cataluסa, 23",Barcelona,NULL,8022,Spain
10367,VAFFE,7,28/11/1996,26/12/1996,02/12/1996,3,13.55,Vaffeljernet,Smagsloget 45,ֵrhus,NULL,8200,Denmark
10368,ERNSH,2,29/11/1996,27/12/1996,02/12/1996,2,101.95,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10369,SPLIR,8,02/12/1996,30/12/1996,09/12/1996,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10370,CHOPS,6,03/12/1996,31/12/1996,27/12/1996,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,NULL,3012,Switzerland
10371,LAMAI,1,03/12/1996,31/12/1996,24/12/1996,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10372,QUEEN,5,04/12/1996,01/01/1997,09/12/1996,2,890.78,Queen Cozinha,"Alameda dos Canאrios, 891",Sao Paulo,SP,05487-020,Brazil
10373,HUNGO,4,05/12/1996,02/01/1997,11/12/1996,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10374,WOLZA,1,05/12/1996,02/01/1997,09/12/1996,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland
10375,HUNGC,3,06/12/1996,03/01/1997,09/12/1996,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10376,MEREP,1,09/12/1996,06/01/1997,13/12/1996,2,20.39,Mטre Paillarde,43 rue St. Laurent,Montrיal,Quיbec,H1J 1C3,Canada
10377,SEVES,1,09/12/1996,06/01/1997,13/12/1996,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK
10378,FOLKO,5,10/12/1996,07/01/1997,19/12/1996,3,5.44,Folk och fה HB,ֵkergatan 24,Brהcke,NULL,S-844 67,Sweden
10379,QUEDE,2,11/12/1996,08/01/1997,13/12/1996,1,45.03,Que Delםcia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10380,HUNGO,8,12/12/1996,09/01/1997,16/01/1997,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10381,LILAS,3,12/12/1996,09/01/1997,13/12/1996,3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolםvar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10382,ERNSH,4,13/12/1996,10/01/1997,16/12/1996,1,94.77,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10383,AROUT,8,16/12/1996,13/01/1997,18/12/1996,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10384,BERGS,3,16/12/1996,13/01/1997,20/12/1996,3,168.64,Berglunds snabbkצp,Berguvsvהgen  8,Luleו,NULL,S-958 22,Sweden
10385,SPLIR,1,17/12/1996,14/01/1997,23/12/1996,2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10386,FAMIA,9,18/12/1996,01/01/1997,25/12/1996,3,13.99,Familia Arquibaldo,"Rua Orףs, 92",Sao Paulo,SP,05442-030,Brazil
10387,SANTG,1,18/12/1996,15/01/1997,20/12/1996,2,93.63,Santי Gourmet,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
10388,SEVES,2,19/12/1996,16/01/1997,20/12/1996,1,34.86,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK
10389,BOTTM,4,20/12/1996,17/01/1997,24/12/1996,2,47.42,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10390,ERNSH,6,23/12/1996,20/01/1997,26/12/1996,1,126.38,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10391,DRACD,3,23/12/1996,20/01/1997,31/12/1996,3,5.45,Drachenblut Delikatessen,Walserweg 21,Aachen,NULL,52066,Germany
10392,PICCO,2,24/12/1996,21/01/1997,01/01/1997,3,122.46,Piccolo und mehr,Geislweg 14,Salzburg,NULL,5020,Austria
10393,SAVEA,1,25/12/1996,22/01/1997,03/01/1997,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10394,HUNGC,1,25/12/1996,22/01/1997,03/01/1997,3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10395,HILAA,6,26/12/1996,23/01/1997,03/01/1997,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristףbal,Tבchira,5022,Venezuela
10396,FRANK,1,27/12/1996,10/01/1997,06/01/1997,3,135.35,Frankenversand,Berliner Platz 43,Mnchen,NULL,80805,Germany
10397,PRINI,5,27/12/1996,24/01/1997,02/01/1997,1,60.26,Princesa Isabel Vinhos,Estrada da saתde n. 58,Lisboa,NULL,1756,Portugal
10398,SAVEA,2,30/12/1996,27/01/1997,09/01/1997,3,89.16,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10399,VAFFE,8,31/12/1996,14/01/1997,08/01/1997,3,27.36,Vaffeljernet,Smagsloget 45,ֵrhus,NULL,8200,Denmark
10400,EASTC,1,01/01/1997,29/01/1997,16/01/1997,3,83.93,Eastern Connection,35 King George,London,NULL,WX3 6FW,UK
10401,RATTC,1,01/01/1997,29/01/1997,10/01/1997,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10402,ERNSH,8,02/01/1997,13/02/1997,10/01/1997,2,67.88,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10403,ERNSH,4,03/01/1997,31/01/1997,09/01/1997,3,73.79,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10404,MAGAA,2,03/01/1997,31/01/1997,08/01/1997,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
10405,LINOD,1,06/01/1997,03/02/1997,22/01/1997,1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
10406,QUEEN,7,07/01/1997,18/02/1997,13/01/1997,1,108.04,Queen Cozinha,"Alameda dos Canאrios, 891",Sao Paulo,SP,05487-020,Brazil
10407,OTTIK,2,07/01/1997,04/02/1997,30/01/1997,2,91.48,Ottilies Kהseladen,Mehrheimerstr. 369,Kצln,NULL,50739,Germany
10408,FOLIG,8,08/01/1997,05/02/1997,14/01/1997,1,11.26,Folies gourmandes,"184, chaussיe de Tournai",Lille,NULL,59000,France
10409,OCEAN,3,09/01/1997,06/02/1997,14/01/1997,1,29.83,Ocיano Atlבntico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,NULL,1010,Argentina
10410,BOTTM,3,10/01/1997,07/02/1997,15/01/1997,3,2.4,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10411,BOTTM,9,10/01/1997,07/02/1997,21/01/1997,3,23.65,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10412,WARTH,8,13/01/1997,10/02/1997,15/01/1997,2,3.77,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10413,LAMAI,3,14/01/1997,11/02/1997,16/01/1997,2,95.66,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10414,FAMIA,2,14/01/1997,11/02/1997,17/01/1997,3,21.48,Familia Arquibaldo,"Rua Orףs, 92",Sao Paulo,SP,05442-030,Brazil
10415,HUNGC,3,15/01/1997,12/02/1997,24/01/1997,1,0.2,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10416,WARTH,8,16/01/1997,13/02/1997,27/01/1997,3,22.72,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10417,SIMOB,4,16/01/1997,13/02/1997,28/01/1997,3,70.29,Simons bistro,Vinbזltet 34,Kobenhavn,NULL,1734,Denmark
10418,QUICK,4,17/01/1997,14/02/1997,24/01/1997,1,17.55,QUICK-Stop,Taucherstrae 10,Cunewalde,NULL,1307,Germany
10419,RICSU,4,20/01/1997,17/02/1997,30/01/1997,2,137.35,Richter Supermarkt,Starenweg 5,Genטve,NULL,1204,Switzerland
10420,WELLI,3,21/01/1997,18/02/1997,27/01/1997,1,44.12,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
10421,QUEDE,8,21/01/1997,04/03/1997,27/01/1997,1,99.23,Que Delםcia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10422,FRANS,2,22/01/1997,19/02/1997,31/01/1997,1,3.02,Franchi S.p.A.,Via Monte Bianco 34,Torino,NULL,10100,Italy
10423,GOURL,6,23/01/1997,06/02/1997,24/02/1997,3,24.5,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil
