ProductID,ProductName,UnitsSold,Revenue,GrossProfit,GrossMargin,VolumeRank,MarginRank,Segment
41,Jack's New England Clam Chowder,981,8680.345000000001,3947.02,0.4547077333907811,13.5,11.0,High Volume / High Margin
42,Singaporean Hokkien Fried Mee,697,8575.0,3696.0,0.4310204081632653,39.0,39.0,High Volume / High Margin
43,Ipoh Coffee,580,23526.7,10186.699999999999,0.4329846514810831,45.5,34.0,Low Volume / High Margin
44,Gula Malacca,601,9915.945,4071.2200000000003,0.41057307195632897,44.0,63.0,Low Volume / Low Margin
45,Rogede sild,508,4338.175,1925.1750000000002,0.44377532026716304,51.0,17.0,Low Volume / High Margin
46,Spegesild,548,5883.0,2595.0,0.4411014788373279,47.0,20.0,Low Volume / High Margin
47,Zaanse koeken,485,3958.08,1654.33,0.4179627496159754,54.0,53.0,Low Volume / Low Margin
48,Chocolade,138,1368.7125,488.9625,0.3572426641825803,74.0,77.0,Low Volume / Low Margin
49,Maxilaku,520,9244.6,4044.6,0.4375094649849642,50.0,27.0,Low Volume / High Margin
50,Valkoinen suklaa,235,3437.6875,1528.3125,0.4445757504136138,72.0,16.0,Low Volume / High Margin
51,Manjimup Dried Apples,886,41819.65,18340.65,0.4385653634116976,18.0,24.0,High Volume / High Margin
52,Filo Mix,500,3232.95,1482.95,0.4586987117029339,53.0,10.0,Low Volume / High Margin
53,Perth Pasties,722,20574.17,8733.37,0.42448225128887346,36.0,46.0,High Volume / Low Margin
54,Tourtiטre,755,4728.2375,1915.8625,0.4051959107384094,28.5,66.0,High Volume / Low Margin
55,Pגtי chinois,903,17426.4,6590.4,0.3781848230271312,16.0,75.0,High Volume / Low Margin
56,Gnocchi di nonna Alice,1263,42593.06,18596.06,0.4365983566336864,4.0,29.0,High Volume / High Margin
57,Ravioli Angelo,434,7661.55,3430.05,0.4476966149147366,57.0,15.0,Low Volume / High Margin
58,Escargots de Bourgogne,534,5881.675,2343.925,0.39851317864383873,49.0,71.0,Low Volume / Low Margin
59,Raclette Courdavault,1496,71155.7,30015.7,0.4218312798553033,2.0,48.0,High Volume / Low Margin
60,Camembert Pierrot,1577,46825.48,20016.48,0.4274698305281654,1.0,40.0,High Volume / Low Margin
61,Sirop d'יrable,603,14352.6,5759.85,0.40131056393963466,43.0,68.0,Low Volume / Low Margin
62,Tarte au sucre,1083,47234.97,20539.02,0.4348265702296413,9.0,30.0,High Volume / High Margin
63,Vegie-spread,445,16701.095,6933.344999999999,0.4151431388181433,56.0,58.0,Low Volume / Low Margin
64,Wimmers gute Semmelknצdel,740,21957.9675,9655.4675,0.4397250109783613,34.0,22.0,High Volume / High Margin
65,Louisiana Fiery Hot Pepper Sauce,745,13869.89,6028.765,0.43466566786037963,32.0,31.0,High Volume / High Margin
66,Louisiana Hot Spiced Okra,239,3383.0,1351.5,0.39949748743718594,71.0,69.0,Low Volume / Low Margin
67,Laughing Lumberjack Lager,184,2396.8,1108.8,0.4626168224299065,73.0,7.0,Low Volume / High Margin
68,Scottish Longbreads,799,8714.0,3720.25,0.42692793206334634,24.0,42.0,High Volume / Low Margin
69,Gudbrandsdalsost,714,21942.36,9090.36,0.4142836048629227,37.0,60.0,High Volume / Low Margin
70,Outback Lager,817,10672.65,4545.15,0.4258689266489578,21.0,43.0,High Volume / Low Margin
71,Flotemysost,1057,19551.025,8188.275,0.4188156375433001,10.5,51.0,High Volume / Low Margin
72,Mozzarella di Giovanni,806,24900.129999999997,10875.73,0.43677402487456896,22.0,28.0,High Volume / High Margin
73,Rצd Kaviar,293,3997.2,1799.7,0.4502401681176824,70.0,13.0,Low Volume / High Margin
74,Longlife Tofu,297,2432.5,947.5,0.3895169578622816,68.5,73.0,Low Volume / Low Margin
75,Rhצnbrהu Klosterbier,1155,8177.49,3701.8650000000002,0.45268963948595475,6.0,12.0,High Volume / High Margin
76,Lakkalikצצri,981,15760.44,6931.44,0.4397999040635921,13.5,21.0,High Volume / High Margin
77,Original Frankfurter grne Soe,791,9171.63,4030.13,0.43941262349222554,26.0,23.0,High Volume / High Margin
