CustomerID,Revenue,COGS,GrossProfit,Orders,GrossMargin,AverageOrderValue,ProfitPerOrder,RevenueRank,ProfitRank,Segment
FRANS,1545.7,779.1800000000001,766.52,6,0.4959047680662483,257.6166666666667,127.75333333333333,80.0,79.0,Low Revenue / Low Profit
FURIB,6427.4225,4012.5,2414.9225,8,0.37572176093916343,803.4278125,301.8653125,49.0,53.0,Low Revenue / Low Profit
GALED,836.7,477.75,358.95000000000005,5,0.42900681247759054,167.34,71.79,85.0,85.0,Low Revenue / Low Profit
GODOS,11446.36,6071.55,5374.81,10,0.4695649970820418,1144.636,537.481,36.0,36.0,High Revenue / High Profit
GOURL,8414.135,4478.615,3935.52,9,0.46772722329746313,934.9038888888889,437.28,43.0,40.0,High Revenue / High Profit
GREAL,18507.45,9855.565,8651.885,11,0.4674812035153411,1682.4954545454545,786.535,22.0,18.0,High Revenue / High Profit
GROSR,1488.7,882.3000000000001,606.4,2,0.4073352589507624,744.35,303.2,81.0,83.0,Low Revenue / Low Profit
HANAR,32841.37,17458.3,15383.07,14,0.4684052461879635,2345.812142857143,1098.7907142857143,6.0,6.0,High Revenue / High Profit
HILAA,22768.764,12816.69,9952.074,18,0.43709329149355675,1264.9313333333332,552.893,16.0,14.0,High Revenue / High Profit
HUNGC,3063.2,1642.525,1420.675,5,0.4637878688952729,612.64,284.135,71.0,70.0,Low Revenue / Low Profit
HUNGO,49979.905,30198.955,19780.95,19,0.39577806320360154,2630.5213157894736,1041.1026315789475,5.0,5.0,High Revenue / High Profit
ISLAT,6146.3,3214.85,2931.45,10,0.476945479394107,614.63,293.145,50.0,48.0,Low Revenue / Low Profit
KOENE,30908.384000000002,16451.31,14457.074,14,0.46773956218481044,2207.7417142857144,1032.6481428571428,7.0,7.0,High Revenue / High Profit
LACOR,1992.05,996.025,996.025,4,0.5,498.0125,249.00625,74.0,74.0,Low Revenue / Low Profit
LAMAI,9328.2,5757.025000000001,3571.175,14,0.3828364529062413,666.3000000000001,255.08392857142857,41.0,43.0,High Revenue / High Profit
LAUGB,522.5,296.25,226.25,3,0.43301435406698563,174.16666666666666,75.41666666666667,87.0,87.0,Low Revenue / Low Profit
LAZYK,357.0,197.0,160.0,2,0.4481792717086835,178.5,80.0,88.0,88.0,Low Revenue / Low Profit
LEHMS,19261.41,11253.435,8007.975,15,0.41575227358744765,1284.094,533.865,20.0,21.0,High Revenue / High Profit
LETSS,3076.4725,1745.01,1331.4624999999999,4,0.4327886889936445,769.118125,332.86562499999997,70.0,72.0,Low Revenue / Low Profit
LILAS,16076.6,9909.83,6166.77,14,0.38358670365624575,1148.3285714285714,440.48357142857145,26.0,30.0,High Revenue / High Profit
LINOD,16476.565,9214.775,7261.79,12,0.44073446133948435,1373.0470833333331,605.1491666666667,24.0,22.0,High Revenue / High Profit
LONEP,4258.6,2218.55,2040.05,8,0.47904240830319816,532.325,255.00625,58.0,56.0,Low Revenue / Low Profit
MAGAA,7176.215,4156.675,3019.54,10,0.420770559410497,717.6215,301.954,44.0,46.0,High Revenue / Low Profit
MAISD,9736.075,5215.29,4520.785,7,0.46433341978158543,1390.8678571428572,645.8264285714286,39.0,38.0,High Revenue / High Profit
MEREP,28872.190000000002,18439.25,10432.94,13,0.36134910444964513,2220.9376923076925,802.5338461538462,9.0,12.0,High Revenue / High Profit
MORGK,5042.2,2672.5,2369.7,5,0.46997342429891714,1008.4399999999999,473.93999999999994,55.0,54.0,Low Revenue / Low Profit
NORTS,649.0,324.5,324.5,3,0.5,216.33333333333334,108.16666666666667,86.0,86.0,Low Revenue / Low Profit
OCEAN,3460.2,1770.0,1690.2,5,0.4884688746315242,692.04,338.04,65.0,63.0,Low Revenue / Low Profit
OLDWO,15177.4625,9019.625,6157.8375,10,0.405722465135394,1517.74625,615.7837499999999,29.0,31.0,High Revenue / High Profit
OTTIK,12496.2,6946.85,5549.349999999999,10,0.4440830012323746,1249.6200000000001,554.935,32.0,33.0,High Revenue / High Profit
PERIC,4242.2,2363.58,1878.62,6,0.44284097873744754,707.0333333333333,313.1033333333333,59.0,59.0,Low Revenue / Low Profit
PICCO,23128.86,14797.5,8331.36,10,0.3602149003452829,2312.886,833.1360000000001,15.0,20.0,High Revenue / High Profit
PRINI,5044.9400000000005,2993.95,2050.99,5,0.40654398268363934,1008.988,410.198,54.0,55.0,Low Revenue / Low Profit
QUEDE,6664.81,3894.765,2770.045,9,0.41562250086649133,740.5344444444445,307.78277777777777,48.0,50.0,Low Revenue / Low Profit
QUEEN,25717.4975,17021.95,8695.5475,13,0.33811794868454836,1978.2690384615385,668.8882692307693,12.0,17.0,High Revenue / High Profit
QUICK,110277.30500000001,61099.87,49177.435,28,0.4459433878983531,3938.475178571429,1756.3369642857142,1.0,1.0,High Revenue / High Profit
RANCH,2844.1,1478.04,1366.06,5,0.48031363172884217,568.8199999999999,273.212,72.0,71.0,Low Revenue / Low Profit
RATTC,51097.8005,29281.21,21816.5905,18,0.42695752628334754,2838.7666944444445,1212.0328055555556,4.0,4.0,High Revenue / High Profit
REGGC,7048.24,3881.1,3167.14,12,0.4493518949411484,587.3533333333334,263.92833333333334,45.0,45.0,High Revenue / High Profit
RICAR,12450.8,6924.125,5526.675,11,0.44388111607286285,1131.890909090909,502.425,33.0,35.0,High Revenue / High Profit
RICSU,19343.779000000002,10605.225,8738.554,10,0.45175009495300783,1934.3779000000002,873.8554,19.0,16.0,High Revenue / High Profit
ROMEY,1467.29,826.79,640.5,5,0.43651902486897615,293.45799999999997,128.1,83.0,82.0,Low Revenue / Low Profit
SANTG,5735.150000000001,3000.175,2734.975,6,0.47687941902129843,955.8583333333335,455.82916666666665,53.0,51.0,Low Revenue / Low Profit
SAVEA,104361.95,60359.425,44002.525,31,0.42163379469241424,3366.514516129032,1419.4362903225806,3.0,3.0,High Revenue / High Profit
SEVES,16215.324999999999,9464.575,6750.75,9,0.4163191302055309,1801.7027777777776,750.0833333333334,25.0,25.0,High Revenue / High Profit
SIMOB,16817.0975,10531.125,6285.9725,7,0.37378462603311896,2402.4425,897.9960714285714,23.0,28.0,High Revenue / High Profit
SPECD,2423.35,1211.675,1211.675,4,0.5,605.8375,302.91875,73.0,73.0,Low Revenue / Low Profit
SPLIR,11441.63,7359.26,4082.37,9,0.35679968675791823,1271.292222222222,453.59666666666664,37.0,39.0,High Revenue / High Profit
SUPRD,24088.78,13959.2,10129.58,12,0.4205102956646206,2007.3983333333333,844.1316666666667,14.0,13.0,High Revenue / High Profit
THEBI,3361.0,1723.0,1638.0,4,0.487354953882773,840.25,409.5,66.0,64.0,Low Revenue / Low Profit
THECR,1947.24,973.62,973.62,3,0.5,649.08,324.54,75.0,75.0,Low Revenue / Low Profit
TOMSP,4778.14,2816.075,1962.065,6,0.41063363568250405,796.3566666666667,327.0108333333333,56.0,58.0,Low Revenue / Low Profit
TORTU,10812.15,5833.625,4978.525,10,0.46045652344815785,1081.215,497.85249999999996,38.0,37.0,High Revenue / High Profit
TRADH,6850.664,3842.31,3008.354,6,0.43913319935118694,1141.7773333333332,501.3923333333333,47.0,47.0,Low Revenue / Low Profit
TRAIH,1571.2,785.6,785.6,3,0.5,523.7333333333333,261.8666666666667,79.0,77.0,Low Revenue / Low Profit
VAFFE,15843.925,8988.41,6855.515,11,0.4326904476005788,1440.3568181818182,623.2286363636364,27.0,24.0,High Revenue / High Profit
VICTE,9182.43,5411.65,3770.7799999999997,10,0.4106516466774045,918.243,377.078,42.0,42.0,High Revenue / High Profit
VINET,1480.0,885.7,594.3,5,0.40155405405405403,296.0,118.85999999999999,82.0,84.0,Low Revenue / Low Profit
WANDK,9588.425,5811.775,3776.65,10,0.393875949386891,958.8425,377.665,40.0,41.0,High Revenue / High Profit
WARTH,15648.7025,9233.65,6415.0525,15,0.409941495149518,1043.2468333333334,427.67016666666666,28.0,27.0,High Revenue / High Profit
WELLI,6068.2,3542.65,2525.55,9,0.4161942585939818,674.2444444444444,280.6166666666667,52.0,52.0,Low Revenue / Low Profit
WHITC,27363.605,15208.8,12154.805,14,0.4441960406898141,1954.5432142857142,868.2003571428571,10.0,9.0,High Revenue / High Profit
WILMK,3161.35,1580.675,1580.675,7,0.5,451.62142857142857,225.81071428571428,69.0,67.0,Low Revenue / Low Profit
WOLZA,3531.95,1823.35,1708.6,7,0.48375543255142345,504.5642857142857,244.08571428571426,64.0,62.0,Low Revenue / Low Profit
